path,size_bytes,sha256,artifact_role,reason_for_deletion,preserved_replacement_or_provenance,operational_reference_status,deletion_status
artifacts/experiments/fasterrcnn_seed42/last.pth,330163202,73b53dc8dafc4ed1685bc2b81578df56581307870defba75d1b0a9c5cff53bad,last/resume,Completed-run resume state,Archived best plus metrics/history,RESUME-ONLY REFERENCE,DELETED
artifacts/refinement/fcos/E1_full_finetune/last.pth,383673490,3401dd6c22ccfb4507450b74fd48c674b75fe9578f614259b8aa5241abcdf0a4,last/resume,Completed-run resume state,Best metadata retained,RESUME-ONLY REFERENCE,DELETED
artifacts/refinement/fcos/E2_freeze_backbone_3ep/last.pth,383673490,9daea4632f8ef8dd6040f0bd3fb559230de6cf4fae39aeb504c4842da80e163a,last/resume,Completed-run resume state,Best metadata retained,RESUME-ONLY REFERENCE,DELETED
artifacts/refinement/fcos/E3_freeze_backbone_5ep/last.pth,383673490,7bf03cf9d9be0ba4e256e47e765e61ce8a9a12d8f2889a5f3776d2f405b0e3bd,last/resume,Completed-run resume state,Archived best plus metadata,RESUME-ONLY REFERENCE,DELETED
artifacts/refinement/fcos/F_final_fcos_tuned/last.pth,383673490,4a70db225d555c3ecea23be39857eb16471f3938f56e28801658c140ed2e8243,last/resume,Completed-run resume state,DVC-protected final best plus metadata,RESUME-ONLY REFERENCE,DELETED
artifacts/experiments/detr_seed42/last/model.safetensors,166497908,e96d95c8708b076701b9faab9abbf552375c094547e9b34ca74a1653dcef9208,DETR last,Completed DETR resume state,Archived best plus metadata,RESUME-ONLY REFERENCE,DELETED
artifacts/experiments/detr_seed42/optimizer.pt,332286923,dd3f7255169ea4f15388082f694bdffd21401d44f51741e8653e9ae05747d4fa,DETR optimizer,Completed DETR resume state,Archived best plus metadata,RESUME-ONLY REFERENCE,DELETED
artifacts/experiments/detr_seed42/training_state.pt,332298379,385865ffdf5532ad3eba2936f26401e78da125ff67a8e32a6f7bd7e415f196d7,DETR training state,Completed DETR resume state,Archived best plus metadata,RESUME-ONLY REFERENCE,DELETED
artifacts/refinement/fcos/D4_top1_confirm/best.pth,383668306,371b084f96e584592fdbae09c6f292f3ef291b9d7a016848aa1c0d8567ea6e79,invalid checkpoint,INVALID_EARLY_STOPPING,Invalid-run metadata retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/D5_top2_confirm/best.pth,606972197,d0d883ca1ef50e7d75642a74ebada8e524ba847e0fdd54ceeeab1bf99973ce9d,invalid checkpoint,INVALID_EARLY_STOPPING,Invalid-run metadata retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/V5_1024/best.pth,383668178,be44cc4db49af47d416a6f185706bb5d19dd4ada64bd00b21516a607a1a9af91,incomplete checkpoint,Incomplete experiment,Config/history retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/A1_sgd_lr5e4/best.pth,256226578,78b602322d74df0e6c30bf6029a4ace4e89278402c49f4602a3a89c4cee4817e,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/A2_sgd_lr1e3/best.pth,256226322,93438a6ff1ef7903809ad524b425499b5d7939e53fd5ed4f3fa1aa64fc015d34,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/A3_sgd_lr2e3/best.pth,256227090,c6a232748674315b95969f2e35310278834689f89c16f20080502fc2bb0e5373,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/A5_adamw_lr3e4/best.pth,383672082,e73a86377b636b30fa54aed5e8a5244d5cbcdfe6dc1d576eab45f2a54ee9e373,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/A6_adamw_lr5e4/best.pth,383670738,8d7e5c38ae8d888565848b0033e5bc57787a038bb27325bd8c056cb3cb5f20c6,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/B1_fixed/best.pth,383668626,fd0c200218f568c54401e9d9e5b7fb0ae85e8e549fc68d06ea9422ddf8b231cd,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/B2_cosine/best.pth,383669202,14607876f2d6fc8effd36f6a9c56c216feac10567ac9555eb8da0a5975de4740,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/B4_plateau/best.pth,383669842,b23f5fca49709f4862d7f2c07a7ecf885027dc5542fcb7047165a1957b381487,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/C2_medium_aug/best.pth,383672850,9f54428c5ada9df8c743e5214e6498cb4840a721e52919e7f8bede2dda0da643,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/C3_strong_aug/best.pth,383674386,11927084eaee27cb4086d98643d55198fcc66fc172d0c043343e40e458cf1277,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/D1_resnet34_proxy/best.pth,343746773,57484b7aede425839391121db55bd0721fc1562361e5bcb2db4e0c4476ad5986,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/D2_resnet50_proxy/best.pth,383670354,406eecd1ba7f3a534483bbbe0bff059be95eec90d0ec8038d47479f43fdd9bc8,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/D3_resnet101_proxy/best.pth,606973989,d4f981cc6de70dd6b29ad573478d99fbd54509a032e37d6f05a5f4fa793b0624,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/D5_resnet101_confirm_optional/best.pth,606975077,9a415fce46d8a704d666711bc7715285145d577ce8617ce8fde2c371b80990d5,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/E1_full_finetune/best.pth,383672978,b888d27732c61045d9775166b18fe778cee1845eefe5d1b4ce16ee66ae257067,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/E2_freeze_backbone_3ep/best.pth,383672978,b47062cea5d510ca3dec8a72502450531f039a18a250f7edabbc40c05be3356c,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/G1_no_clip/best.pth,383668946,06394b0215b56f3a22aa31c11c88af41c2f4b85f7c057767b3c12eaab2194ca6,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/G3_clip10/best.pth,383670290,6530f9f73fe66a3652350c44a38a17c6921f2c675abe1eb63203121e34c11acc,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/R2_wd1e5/best.pth,383670226,f71ce028739bc9da2b7d81caf9610fc30c91f75daf9ae929674c689a5597da12,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/R3_wd1e4/best.pth,383669970,6a327fdbd6cef17a73e62b49c0f9bdb5afef001ff429f47ddd4606b1c235dd87,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/R4_wd5e4/best.pth,383669714,356bc884324914e94c672c1cf427e2304459e1b9cf299b688f4fdf254dcfe3af,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/R5_wd1e3/best.pth,383669714,204ba61ff2a30c1e3feafd25a74e1bbf0f09c9e8c574a102e648fbaac0af867c,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/V1_512/best.pth,383671570,0681901944e4845cd5f3033f67571aede3b7a53442859db44c2c5c733a522a2e,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/V2_640/best.pth,383672338,b065ea9b91d1c81a079ded0dc3227866d429a308ecb0e1778b64d6006bcf9e17,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
artifacts/refinement/fcos/V4_896/best.pth,383672914,da142f88b6b5373f3e2479c3f82e6b0e316c2f6e10f6f3c6278528d0a8a3b58f,non-winning refinement,Outside preservation set,Config/metrics/history/MLflow retained,HISTORICAL REFERENCE,DELETED
