image_id,file_name,event_type,prediction_index,predicted_label,actual_label,confidence,iou,prediction_box,gt_index,gt_box,relative_bbox_area,size_category
597,train_55.png,classification_error,1,4,2,0.5842726826667786,0.8703264594078064,"[894.345947265625, 889.9791259765625, 1102.5050048828125, 1184.751953125]",3.0,,,
388,train_507.png,classification_error,0,2,4,0.5835432410240173,0.9142555594444275,"[1751.6361083984375, 703.2300415039062, 1977.697021484375, 1012.5372314453125]",0.0,,,
155,train_485.png,classification_error,1,2,4,0.5737214088439941,0.7891247272491455,"[1699.90185546875, 414.2673034667969, 1821.4764404296875, 732.3809204101562]",3.0,,,
118,train_66.png,classification_error,1,2,3,0.5666176676750183,0.9156243205070496,"[1761.7451171875, 806.66455078125, 1986.346435546875, 1086.3421630859375]",0.0,,,
239,train_696.png,classification_error,1,2,4,0.5662424564361572,0.8420369029045105,"[1128.9757080078125, 675.6909790039062, 1260.8507080078125, 1016.6122436523438]",3.0,,,
266,train_26.png,classification_error,1,4,2,0.5636685490608215,0.7982767820358276,"[771.3279418945312, 500.6759033203125, 943.201171875, 824.8764038085938]",1.0,,,
611,train_508.png,classification_error,1,2,4,0.5624526739120483,0.8203999996185303,"[1054.2945556640625, 791.3018188476562, 1178.6165771484375, 1138.585205078125]",1.0,,,
483,train_8.png,classification_error,0,2,1,0.5596327185630798,0.7352206707000732,"[557.534423828125, 779.21533203125, 776.4472045898438, 1072.7862548828125]",0.0,,,
255,train_477.png,classification_error,1,2,4,0.557667076587677,0.901520311832428,"[2088.73291015625, 856.3758544921875, 2332.6181640625, 1181.3431396484375]",10.0,,,
25,train_176.png,classification_error,4,2,4,0.5476973056793213,0.8203960657119751,"[1700.447509765625, 766.764404296875, 1820.618408203125, 1078.6844482421875]",1.0,,,
419,train_590.png,classification_error,1,4,2,0.5472912788391113,0.5202615261077881,"[975.0830078125, 418.6710205078125, 1101.4560546875, 712.3726806640625]",2.0,,,
266,train_26.png,classification_error,3,2,4,0.5405607223510742,0.8106752634048462,"[617.6799926757812, 776.31787109375, 893.102294921875, 1030.4197998046875]",0.0,,,
388,train_507.png,classification_error,2,4,2,0.5380654335021973,0.7190796732902527,"[974.6068725585938, 383.57855224609375, 1127.2967529296875, 718.0491943359375]",10.0,,,
597,train_55.png,classification_error,2,4,3,0.5348297953605652,0.7150830626487732,"[1052.802490234375, 599.4513549804688, 1207.73046875, 903.6929321289062]",1.0,,,
412,train_349.png,classification_error,2,4,2,0.5263437032699585,0.9106886386871338,"[1821.146240234375, 687.27978515625, 2074.694580078125, 938.37939453125]",5.0,,,
37,train_440.png,classification_error,3,2,4,0.5232651829719543,0.87444007396698,"[1812.618896484375, 409.7825012207031, 1943.6058349609375, 688.8402709960938]",1.0,,,
266,train_26.png,classification_error,5,4,2,0.5228801965713501,0.7518563866615295,"[2005.725830078125, 527.5562744140625, 2184.529541015625, 811.1869506835938]",4.0,,,
159,train_388.png,classification_error,1,4,2,0.5210393667221069,0.7413907647132874,"[741.8980102539062, 355.3310852050781, 895.4974975585938, 641.0133056640625]",1.0,,,
516,train_212.png,classification_error,5,2,4,0.5183997750282288,0.9202890992164612,"[1903.7581787109375, 676.1749877929688, 2156.580810546875, 951.3325805664062]",0.0,,,
195,train_155.png,classification_error,3,2,4,0.5152551531791687,0.8907375335693359,"[684.2449340820312, 689.2272338867188, 955.78564453125, 994.84326171875]",5.0,,,
552,train_644.png,classification_error,1,2,4,0.5112354159355164,0.8638138175010681,"[734.6738891601562, 351.50347900390625, 932.7642211914062, 643.1316528320312]",3.0,,,
696,train_238.png,classification_error,1,4,3,0.5030989050865173,0.7975408434867859,"[851.7567138671875, 769.4119873046875, 1047.4010009765625, 998.6558837890625]",0.0,,,
196,train_356.png,classification_error,6,2,4,0.5027139782905579,0.905701756477356,"[1879.281494140625, 748.1947631835938, 2108.3310546875, 1030.6807861328125]",5.0,,,
