image_id,file_name,GT count,candidate predictions,accepted predictions,true_positive,false_negative,background_false_positive,classification_error,localization_error,duplicate_detection,total diagnostic errors,diagnostic recall
702,train_657.png,2,23,3,0,2,2,0,1,0,5,0.0
484,train_144.png,6,72,7,4,2,1,0,2,0,5,0.6666666666666666
433,train_50.png,3,51,5,1,1,2,1,1,0,5,0.3333333333333333
613,train_384.png,1,46,6,1,0,4,0,0,1,5,1.0
610,train_397.png,5,8,1,1,4,0,0,0,0,4,0.2
635,train_641.png,5,10,1,1,4,0,0,0,0,4,0.2
162,train_505.png,7,29,5,4,3,1,0,0,0,4,0.5714285714285714
592,train_333.png,4,29,2,1,3,1,0,0,0,4,0.25
197,train_362.png,10,98,8,7,3,0,0,1,0,4,0.7
604,train_354.png,4,76,2,1,3,0,0,1,0,4,0.25
208,train_325.png,3,32,3,1,2,2,0,0,0,4,0.3333333333333333
289,train_353.png,4,30,4,2,2,2,0,0,0,4,0.5
461,train_361.png,4,46,4,2,2,2,0,0,0,4,0.5
665,train_288.png,3,55,3,1,2,2,0,0,0,4,0.3333333333333333
169,train_372.png,7,63,7,5,2,1,0,1,0,4,0.7142857142857143
318,train_214.png,5,69,5,3,2,1,0,1,0,4,0.6
616,train_140.png,8,59,8,6,2,1,0,1,0,4,0.75
251,train_460.png,9,61,10,7,1,0,1,2,0,4,0.7777777777777778
100,train_538.png,0,39,4,0,0,4,0,0,0,4,
426,train_20.png,2,25,6,2,0,2,0,0,2,4,1.0
542,train_533.png,4,16,1,1,3,0,0,0,0,3,0.25
2,train_283.png,4,58,3,2,2,1,0,0,0,3,0.5
305,train_576.png,3,12,2,1,2,1,0,0,0,3,0.3333333333333333
700,train_613.png,3,28,2,1,2,1,0,0,0,3,0.3333333333333333
35,train_702.png,2,23,3,1,1,2,0,0,0,3,0.5
549,train_504.png,1,42,2,0,1,2,0,0,0,3,0.0
578,train_43.png,4,60,5,3,1,2,0,0,0,3,0.75
50,train_493.png,4,31,5,3,1,1,0,1,0,3,0.75
60,train_292.png,6,66,7,5,1,1,0,1,0,3,0.8333333333333334
444,train_106.png,1,12,2,0,1,1,0,1,0,3,0.0
514,train_472.png,7,42,7,5,1,1,1,0,0,3,0.7142857142857143
623,train_114.png,1,40,4,1,0,3,0,0,0,3,1.0
534,train_690.png,2,38,5,2,0,2,0,1,0,3,1.0
37,train_440.png,3,30,5,2,0,1,1,0,1,3,0.6666666666666666
103,train_656.png,2,61,5,2,0,1,0,1,1,3,1.0
136,train_400.png,3,14,1,1,2,0,0,0,0,2,0.3333333333333333
165,train_29.png,4,13,2,2,2,0,0,0,0,2,0.5
376,train_600.png,2,11,0,0,2,0,0,0,0,2,0.0
395,train_488.png,2,19,0,0,2,0,0,0,0,2,0.0
29,train_229.png,1,7,1,0,1,1,0,0,0,2,0.0
123,train_35.png,2,24,2,1,1,1,0,0,0,2,0.5
140,train_204.png,2,23,2,1,1,1,0,0,0,2,0.5
216,train_450.png,5,52,5,4,1,1,0,0,0,2,0.8
294,train_286.png,3,38,3,2,1,1,0,0,0,2,0.6666666666666666
522,train_157.png,2,18,2,1,1,1,0,0,0,2,0.5
118,train_66.png,3,25,2,1,1,0,1,0,0,2,0.3333333333333333
217,train_578.png,3,31,2,1,1,0,1,0,0,2,0.3333333333333333
551,train_339.png,7,48,6,5,1,0,1,0,0,2,0.7142857142857143
611,train_508.png,3,28,2,1,1,0,1,0,0,2,0.3333333333333333
620,train_222.png,4,46,6,4,0,1,0,1,0,2,1.0
696,train_238.png,1,16,2,0,0,1,1,0,0,2,0.0
45,train_7.png,5,45,4,4,1,0,0,0,0,1,0.8
243,train_623.png,2,11,1,1,1,0,0,0,0,1,0.5
264,train_228.png,1,6,0,0,1,0,0,0,0,1,0.0
295,train_93.png,6,29,5,5,1,0,0,0,0,1,0.8333333333333334
416,train_660.png,3,27,2,2,1,0,0,0,0,1,0.6666666666666666
550,train_577.png,2,10,1,1,1,0,0,0,0,1,0.5
587,train_175.png,0,15,1,0,0,1,0,0,0,1,
609,train_186.png,1,24,2,1,0,1,0,0,0,1,1.0
408,train_122.png,1,8,1,0,0,0,1,0,0,1,0.0
440,train_206.png,2,33,3,2,0,0,0,1,0,1,1.0
132,train_199.png,1,9,1,1,0,0,0,0,0,0,1.0
230,train_540.png,7,48,7,7,0,0,0,0,0,0,1.0
274,train_527.png,0,11,0,0,0,0,0,0,0,0,
422,train_346.png,0,0,0,0,0,0,0,0,0,0,
564,train_678.png,1,10,1,1,0,0,0,0,0,0,1.0
